Idx,Policy,Number of products,Average size of products,Number of stocks,Average size of stocks,Number of placed products,Run times (s),Number of used stocks,Wastes (%)
1,Greedy Sorted,10,1008.0,200,5721.45,10,0.35259199142456055,2,0.7043668999991262
1,Best Fit Sorted,10,1008.0,200,5721.45,10,0.1606769561767578,2,0.7043668999991262
1,Greedy,10,1008.0,200,5721.45,10,0.3657865524291992,3,0.993192285172465
1,Random,10,1008.0,200,5721.45,10,0.0,10,4.103330449449003
1,GenerateColumn,10,1008.0,200,5721.45,10,0.4276118278503418,2,0.7043668999991262
2,Greedy Sorted,81,435.87654320987656,200,5432.97,81,10.385243892669678,5,0.9516894074511731
2,Best Fit Sorted,81,435.87654320987656,200,5432.97,81,2.168887138366699,5,0.9516894074511731
2,Greedy,81,435.87654320987656,200,5432.97,81,5.723852634429932,9,1.0695807265639237
2,Random,81,435.87654320987656,200,5432.97,81,0.01562356948852539,69,29.18422152156187
2,GenerateColumn,81,435.87654320987656,200,5432.97,81,8.814459800720215,5,0.9516894074511731
3,Greedy Sorted,102,741.5294117647059,200,5633.79,102,24.23924970626831,10,1.3054267198457876
3,Best Fit Sorted,102,741.5294117647059,200,5633.79,102,3.8198142051696777,10,1.3054267198457876
3,Greedy,102,741.5294117647059,200,5633.79,102,15.192632913589478,20,2.328805298032053
3,Random,102,741.5294117647059,200,5633.79,102,0.01684880256652832,88,36.81997376544032
3,GenerateColumn,102,741.5294117647059,200,5633.79,102,16.793248891830444,10,1.3054267198457876
4,Greedy Sorted,12,1640.0,200,5663.26,12,0.6900374889373779,3,0.7888565949647377
4,Best Fit Sorted,12,1640.0,200,5663.26,12,0.13934111595153809,3,0.7888565949647377
4,Greedy,12,1640.0,200,5663.26,12,0.4517486095428467,5,1.0357991686766985
4,Random,12,1640.0,200,5663.26,12,0.0,12,2.943092847582488
4,GenerateColumn,12,1640.0,200,5663.26,12,0.6004922389984131,3,0.7888565949647377
5,Greedy Sorted,59,753.457627118644,200,5753.39,59,11.76784610748291,6,1.059288523809441
5,Best Fit Sorted,59,753.457627118644,200,5753.39,59,1.4901282787322998,6,1.059288523809441
5,Greedy,59,753.457627118644,200,5753.39,59,3.597029685974121,10,1.494336382550114
5,Random,59,753.457627118644,200,5753.39,59,0.0,52,23.607646969873414
5,GenerateColumn,59,753.457627118644,200,5753.39,59,4.195298194885254,6,1.059288523809441
6,Greedy Sorted,141,464.97163120567376,200,5473.59,141,37.625826358795166,9,1.1545439099384498
6,Best Fit Sorted,141,464.97163120567376,200,5473.59,141,7.286014556884766,9,1.1545439099384498
6,Greedy,141,464.97163120567376,200,5473.59,141,17.611671209335327,16,2.1210941996020893
6,Random,141,464.97163120567376,200,5473.59,141,0.004148721694946289,115,51.99887094210563
6,GenerateColumn,141,464.97163120567376,200,5473.59,141,29.482720375061035,9,1.1545439099384498
7,Greedy Sorted,208,655.7596153846154,200,5567.655,208,76.37747716903687,19,2.584211845022725
7,Best Fit Sorted,208,655.7596153846154,200,5567.655,208,9.299433469772339,20,3.2739097519512255
7,Greedy,208,655.7596153846154,200,5567.655,208,34.404242515563965,32,4.116005751074734
7,Random,208,655.7596153846154,200,5567.655,208,0.03148031234741211,146,61.52653136733508
7,GenerateColumn,208,655.7596153846154,200,5567.655,208,99.13273501396179,19,2.584211845022725
8,Greedy Sorted,249,591.3293172690763,200,5612.06,249,136.4204466342926,20,1.8578739357740297
8,Best Fit Sorted,249,591.3293172690763,200,5612.06,249,17.420141458511353,20,1.8578739357740297
8,Greedy,249,591.3293172690763,200,5612.06,249,78.55700922012329,32,2.651254619515828
8,Random,249,591.3293172690763,200,5612.06,249,0.023622989654541016,165,70.10954979098584
8,GenerateColumn,249,591.3293172690763,200,5612.06,249,63.11066222190857,20,1.8578739357740297
