Start Game with: ({'size': array([8, 3]), 'quantity': 12}, {'size': array([6, 4]), 'quantity': 8}, {'size': array([6, 5]), 'quantity': 16}, {'size': array([22,  6]), 'quantity': 15}, {'size': array([29,  1]), 'quantity': 2})
{'stock_idx': 0, 'size': [22, 6], 'position': (0, 0)}
{'stock_idx': 0, 'size': [22, 6], 'position': (0, 6)}
{'stock_idx': 0, 'size': [22, 6], 'position': (0, 12)}
{'stock_idx': 0, 'size': [22, 6], 'position': (0, 18)}
{'stock_idx': 0, 'size': [22, 6], 'position': (0, 24)}
{'stock_idx': 0, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 0, 'size': [23, 16], 'position': (0, 16)}
{'stock_idx': 1, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 1, 'size': [23, 16], 'position': (0, 16)}
{'stock_idx': 2, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 3, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 4, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 5, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 6, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 7, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 8, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 8, 'size': [23, 16], 'position': (0, 16)}
{'stock_idx': 9, 'size': [23, 16], 'position': (0, 0)}
{'stock_idx': 0, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 1, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 2, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 3, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 4, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 5, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 6, 'size': [29, 20], 'position': (0, 0)}
{'stock_idx': 0, 'size': [21, 10], 'position': (0, 20)}
{'stock_idx': 2, 'size': [21, 10], 'position': (0, 20)}
{'stock_idx': 4, 'size': [21, 10], 'position': (0, 20)}
{'stock_idx': 7, 'size': [21, 10], 'position': (0, 0)}
{'stock_idx': 7, 'size': [21, 10], 'position': (0, 10)}
{'stock_idx': 7, 'size': [21, 10], 'position': (0, 20)}
{'stock_idx': 8, 'size': [21, 10], 'position': (0, 0)}
{'stock_idx': 8, 'size': [21, 10], 'position': (0, 10)}
{'stock_idx': 8, 'size': [21, 10], 'position': (0, 20)}
{'stock_idx': 9, 'size': [21, 10], 'position': (0, 0)}
{'stock_idx': 9, 'size': [21, 10], 'position': (0, 10)}
{'stock_idx': 0, 'size': [16, 11], 'position': (21, 20)}
{'stock_idx': 7, 'size': [16, 11], 'position': (21, 0)}
{'stock_idx': 7, 'size': [16, 11], 'position': (21, 11)}
{'stock_idx': 7, 'size': [16, 11], 'position': (21, 22)}
{'stock_idx': 8, 'size': [16, 11], 'position': (21, 0)}
{'stock_idx': 8, 'size': [16, 11], 'position': (21, 11)}
{'stock_idx': 8, 'size': [16, 11], 'position': (21, 22)}
{'stock_idx': 10, 'size': [16, 11], 'position': (0, 0)}
{'stock_idx': 10, 'size': [16, 11], 'position': (0, 11)}
{'stock_idx': 10, 'size': [16, 11], 'position': (16, 0)}
{'stock_idx': 10, 'size': [16, 11], 'position': (16, 11)}
{'stock_idx': 11, 'size': [16, 11], 'position': (0, 0)}
{'stock_idx': 11, 'size': [16, 11], 'position': (0, 11)}
{'stock_idx': 11, 'size': [16, 11], 'position': (0, 22)}
{'stock_idx': 11, 'size': [16, 11], 'position': (16, 0)}
{'stock_idx': 11, 'size': [16, 11], 'position': (16, 11)}
{'stock_idx': 11, 'size': [16, 11], 'position': (16, 22)}
{'stock_idx': 12, 'size': [16, 11], 'position': (0, 0)}
{'stock_idx': 12, 'size': [16, 11], 'position': (16, 0)}
{'stock_idx': 13, 'size': [14, 11], 'position': (0, 0)}
{'stock_idx': 13, 'size': [14, 11], 'position': (0, 11)}
{'stock_idx': 13, 'size': [14, 11], 'position': (0, 22)}
{'stock_idx': 13, 'size': [14, 11], 'position': (14, 0)}
{'stock_idx': 13, 'size': [14, 11], 'position': (14, 11)}
{'stock_idx': 13, 'size': [14, 11], 'position': (14, 22)}
{'stock_idx': 14, 'size': [14, 11], 'position': (0, 0)}
{'stock_idx': 14, 'size': [14, 11], 'position': (0, 11)}
{'stock_idx': 14, 'size': [14, 11], 'position': (14, 0)}
{'stock_idx': 14, 'size': [14, 11], 'position': (14, 11)}
{'stock_idx': 15, 'size': [14, 11], 'position': (0, 0)}
{'stock_idx': 15, 'size': [14, 11], 'position': (0, 11)}
{'stock_idx': 2, 'size': [9, 17], 'position': (29, 0)}
{'stock_idx': 4, 'size': [9, 17], 'position': (29, 0)}
{'stock_idx': 5, 'size': [9, 17], 'position': (29, 0)}
{'stock_idx': 9, 'size': [9, 17], 'position': (21, 0)}
{'stock_idx': 14, 'size': [9, 17], 'position': (28, 0)}
{'stock_idx': 15, 'size': [9, 17], 'position': (14, 0)}
{'stock_idx': 15, 'size': [9, 17], 'position': (14, 17)}
{'stock_idx': 15, 'size': [9, 17], 'position': (23, 0)}
{'stock_idx': 15, 'size': [9, 17], 'position': (23, 17)}
{'stock_idx': 16, 'size': [9, 17], 'position': (0, 0)}
{'stock_idx': 16, 'size': [9, 17], 'position': (0, 17)}
{'stock_idx': 16, 'size': [9, 17], 'position': (9, 0)}
{'stock_idx': 16, 'size': [9, 17], 'position': (9, 17)}
{'stock_idx': 16, 'size': [9, 17], 'position': (18, 0)}
{'stock_idx': 16, 'size': [9, 17], 'position': (18, 17)}
{'stock_idx': 17, 'size': [9, 17], 'position': (0, 0)}
{'stock_idx': 17, 'size': [9, 17], 'position': (0, 17)}
{'stock_idx': 17, 'size': [9, 17], 'position': (9, 0)}
{'stock_idx': 5, 'size': [20, 7], 'position': (0, 20)}
{'stock_idx': 5, 'size': [20, 7], 'position': (20, 20)}
{'stock_idx': 9, 'size': [23, 6], 'position': (0, 20)}
{'stock_idx': 10, 'size': [23, 6], 'position': (0, 22)}
{'stock_idx': 12, 'size': [23, 6], 'position': (0, 11)}
{'stock_idx': 14, 'size': [23, 6], 'position': (0, 22)}
{'stock_idx': 18, 'size': [23, 6], 'position': (0, 0)}
{'stock_idx': 18, 'size': [23, 6], 'position': (0, 6)}
{'stock_idx': 18, 'size': [23, 6], 'position': (0, 12)}
{'stock_idx': 18, 'size': [23, 6], 'position': (0, 18)}
{'stock_idx': 18, 'size': [23, 6], 'position': (0, 24)}
{'stock_idx': 19, 'size': [23, 6], 'position': (0, 0)}
{'stock_idx': 19, 'size': [23, 6], 'position': (0, 6)}
{'stock_idx': 19, 'size': [23, 6], 'position': (0, 12)}
{'stock_idx': 19, 'size': [23, 6], 'position': (0, 18)}
{'stock_idx': 19, 'size': [23, 6], 'position': (0, 24)}
{'stock_idx': 19, 'size': [23, 6], 'position': (0, 30)}
{'stock_idx': 20, 'size': [23, 6], 'position': (0, 0)}
{'stock_idx': 2, 'size': [17, 7], 'position': (21, 20)}
{'stock_idx': 4, 'size': [17, 7], 'position': (21, 20)}
{'stock_idx': 10, 'size': [17, 7], 'position': (23, 22)}
{'stock_idx': 14, 'size': [17, 7], 'position': (23, 22)}
{'stock_idx': 17, 'size': [17, 7], 'position': (9, 17)}
{'stock_idx': 17, 'size': [17, 7], 'position': (9, 24)}
{'stock_idx': 20, 'size': [17, 7], 'position': (0, 6)}
{'stock_idx': 20, 'size': [17, 7], 'position': (0, 13)}
{'stock_idx': 20, 'size': [17, 7], 'position': (17, 6)}
{'stock_idx': 20, 'size': [17, 7], 'position': (17, 13)}
{'stock_idx': 21, 'size': [17, 7], 'position': (0, 0)}
{'stock_idx': 21, 'size': [17, 7], 'position': (0, 7)}
{'stock_idx': 21, 'size': [17, 7], 'position': (0, 14)}
{'stock_idx': 0, 'size': [5, 18], 'position': (29, 0)}
{'stock_idx': 1, 'size': [5, 18], 'position': (29, 0)}
{'stock_idx': 3, 'size': [5, 18], 'position': (29, 0)}
{'stock_idx': 10, 'size': [6, 15], 'position': (32, 0)}
{'stock_idx': 15, 'size': [6, 15], 'position': (0, 22)}
{'stock_idx': 15, 'size': [6, 15], 'position': (6, 22)}
{'stock_idx': 16, 'size': [6, 15], 'position': (27, 0)}
{'stock_idx': 16, 'size': [6, 15], 'position': (27, 15)}
